                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-25.8.1"                                 "CRMATH"                               "20260618"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      701                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386263918106E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057386263918106E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836732160352E+000                  1.1866327403789404E-005                 -4.9256836732160343E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836732160352E+000                  1.1866327403789404E-005                 -4.9256836733260574E+000                 -1.4521986249601706E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416908972652378E+000                  5.3986994667418402E-002                  2.6626486366773006E-001                  3.9055378999676726E+000                  0.0000000000000000E+000                  6.6225825274116588E+000                  1.4483780546466654E-001                  1.4891917200748360E+001                  1.4891917200748360E+001                  1.4483780546466654E-001                  6.6225825274116588E+000                  6.2123283091560344E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        4 
                                       5                                      700                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444226158E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444226158E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836773094976E+000                  1.1866327291942784E-005                 -4.9256836773094976E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836773094976E+000                  1.1866327291942784E-005                 -4.9256836774195198E+000                 -1.4521986345648545E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882550375669E+000                  5.3976418977093564E-002                  2.6626486027791074E-001                  3.9055379067473117E+000                  0.0000000000000000E+000                  6.6225825281244521E+000                  1.4483780655195069E-001                  1.4891917202553488E+001                  1.4891917202553488E+001                  1.4483780655195069E-001                  6.6225825281244521E+000                  6.2123283091516768E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      10                                      700                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087904365E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087904365E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836888944573E+000                  1.1866326975404290E-005                 -4.9256836888944573E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836888944573E+000                  1.1866326975404290E-005                 -4.9256836890044795E+000                 -1.4521986602059817E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882562563084E+000                  5.3976423862196907E-002                  2.6626486028297924E-001                  3.9055379067371745E+000                  0.0000000000000000E+000                  6.6225825301031982E+000                  1.4483780957103010E-001                  1.4891917207565346E+001                  1.4891917207565346E+001                  1.4483780957103010E-001                  6.6225825301031982E+000                  6.2123283091395853E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      15                                      700                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963693686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963693686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837064811423E+000                  1.1866326494879307E-005                 -4.9256837064811423E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837064811423E+000                  1.1866326494879307E-005                 -4.9256837065911645E+000                 -1.4521986935535082E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882388623049E+000                  5.3976354356428731E-002                  2.6626486031810093E-001                  3.9055379066669311E+000                  0.0000000000000000E+000                  6.6225825329858283E+000                  1.4483781399168383E-001                  1.4891917214889000E+001                  1.4891917214889000E+001                  1.4483781399168383E-001                  6.6225825329858283E+000                  6.2123283091219750E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      20                                      700                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305470363E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305470363E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837327618896E+000                  1.1866325776804502E-005                 -4.9256837327618896E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837327618896E+000                  1.1866325776804502E-005                 -4.9256837328719119E+000                 -1.4521987325163787E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882417319396E+000                  5.3976366266284735E-002                  2.6626486053375992E-001                  3.9055379062356130E+000                  0.0000000000000000E+000                  6.6225825370930522E+000                  1.4483782034807965E-001                  1.4891917225381460E+001                  1.4891917225381460E+001                  1.4483782034807965E-001                  6.6225825370930522E+000                  6.2123283090968995E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      25                                      700                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389533779884E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389533779884E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837703822880E+000                  1.1866324748893954E-005                 -4.9256837703822880E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256837703822880E+000                  1.1866324748893954E-005                 -4.9256837704923102E+000                 -1.4521987706325479E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882459558706E+000                  5.3976383652026790E-002                  2.6626486077876860E-001                  3.9055379057455957E+000                  0.0000000000000000E+000                  6.6225825427742357E+000                  1.4483782928970182E-001                  1.4891917240043661E+001                  1.4891917240043661E+001                  1.4483782928970182E-001                  6.6225825427742357E+000                  6.2123283090622661E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      30                                      700                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729476103586E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729476103586E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838182685172E+000                  1.1866323440487944E-005                 -4.9256838182685172E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838182685172E+000                  1.1866323440487944E-005                 -4.9256838183785385E+000                 -1.4521987976286432E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882470343088E+000                  5.3976388344341819E-002                  2.6626486096804985E-001                  3.9055379053670332E+000                  0.0000000000000000E+000                  6.6225825502560491E+000                  1.4483784145930548E-001                  1.4891917259745675E+001                  1.4891917259745675E+001                  1.4483784145930548E-001                  6.6225825502560491E+000                  6.2123283090167836E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      35                                      700                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513377533525E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513377533525E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838645308765E+000                  1.1866322176451405E-005                 -4.9256838645308765E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838645308765E+000                  1.1866322176451405E-005                 -4.9256838646408987E+000                 -1.4521988058248748E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882468875746E+000                  5.3976387795166308E-002                  2.6626486098693058E-001                  3.9055379053292718E+000                  0.0000000000000000E+000                  6.6225825595691168E+000                  1.4483785764820201E-001                  1.4891917285307247E+001                  1.4891917285307247E+001                  1.4483785764820201E-001                  6.6225825595691168E+000                  6.2123283089605064E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861275E-003                  9.3805276451495410E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      40                                      700                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651384528994E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651384528994E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838814486104E+000                  1.1866321714204519E-005                 -4.9256838814486104E+000                 -9.8999999999999986E+001                 -2.0293948446095037E+001                 -4.9256838814486104E+000                  1.1866321714204519E-005                 -4.9256838815586326E+000                 -1.4521987940478880E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882461260212E+000                  5.3976383672274669E-002                  2.6626486044859210E-001                  3.9055379064059488E+000                  0.0000000000000000E+000                  6.6225825707588983E+000                  1.4483787977898790E-001                  1.4891917318690679E+001                  1.4891917318690679E+001                  1.4483787977898790E-001                  6.6225825707588983E+000                  6.2123283088937720E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861258E-003                  9.3805276451495393E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
